Panama,42653,42402,37049,35587,38618,18483,15064,21968,34837,39722
Papua New Guinea,1917,1651,1345,1327,1888,551,230,1226,1698,2060
Paraguay,13661,16103,17564,19868,16457,6697,4185,10325,14287,18285
Peru,109330,93352,96267,92633,107847,56296,53133,69721,106554,149671
Philippines,162871,179734,196671,204137,206504,107037,84734,173371,249644,266852
Poland,87518,94757,99907,117231,118486,18668,8623,42063,44737,39663
Portugal,5454,5717,5943,7485,9862,3862,2277,6937,10290,16103
Qatar,27633,34010,25121,23992,24641,10567,13318,28090,50352,42832
Romania,41297,44966,43947,46723,52317,21974,14149,31755,55315,87975
Russia,155591,182958,192532,92642,128477,60109,8668,1076,1289,1509
Rwanda,2185,2890,2371,3644,4219,1285,855,2555,2834,4094
Samoa,1102,928,808,1263,1265,519,104,703,1421,868
Saudi Arabia,156464,145061,106938,105234,106409,39043,24681,71830,107000,102167
Senegal,3828,4899,4404,4148,6640,2729,1422,3940,6121,6281
Serbia,17704,20947,19429,17113,15872,7188,7560,15449,25231,24204
Sierra Leone,1426,1343,2203,1462,1840,748,764,3287,4797,3000
Singapore,35072,37685,35336,32591,33784,14263,14657,32482,42667,37437
Slovakia,5068,5120,5182,4516,4477,1223,821,3229,3971,4561
Slovenia,1642,1652,1434,1321,1485,635,533,1154,1427,1815
South Africa,61934,61398,61390,68436,64225,34803,12508,48021,81848,78264
South Sudan,101,219,219,262,316,101,155,378,462,324
Spain,35761,38563,36221,38967,40807,15301,20224,39350,45660,61513
Sri Lanka,11321,11620,13980,10824,8804,3451,2195,8971,14116,9934
Sudan,2591,3664,2624,2817,1857,959,471,646,610,0
Suriname,6567,4971,5441,5801,6912,2654,1480,6012,7403,6743
Sweden,14698,19457,18147,16194,16152,6654,2100,8984,14651,15802
Switzerland,23523,25509,23919,22113,22463,10038,7010,18430,25307,27758
Taipei,31217,33646,32826,30324,30066,14661,16027,26176,34040,32144
Tajikistan,1736,1836,1819,1672,1450,569,617,1578,2304,2539
Tanzania,7967,6680,6385,6543,6286,2356,1710,6505,8089,8412
Thailand,63358,65713,62106,61381,61496,24598,19358,59779,64650,67971
Timor-Leste,0,18,134,122,154,71,64,182,189,287
Togo,1691,1890,1878,1628,2010,717,226,1281,2753,2570
Trinidad and Tobago,27662,32302,28126,26953,39026,18322,8517,25418,49796,55991
Tunisia,5877,7560,7367,6038,6287,2981,2396,5980,8294,8750
Turkey,104844,113240,97025,78126,86106,42076,19741,67156,121721,124341
Turkmenistan,1691,1622,1566,1271,1023,396,77,664,2763,2664
Uganda,7973,7706,8259,10182,9499,3838,1073,7063,8612,8548
Ukraine,71400,65367,63903,61766,52946,26551,15057,8050,2044,3923
United Arab Emirates,97667,108141,75849,69510,77468,25123,23182,76228,96723,114918
Uruguay,28916,29857,26750,25263,22733,9081,10325,23351,30063,33066
Uzbekistan,10095,9290,11125,9183,7913,2284,1218,10247,12066,11413
Venezuela,239772,151014,47942,21290,4614,0,0,0,0,0
Vietnam,101221,104830,121118,123416,131093,64050,35212,92912,127380,144974
Yemen,656,0,0,0,0,0,0,0,0,0
Zambia,3752,4021,4365,4747,3736,1350,1049,6111,8081,3978
Zimbabwe,5288,5842,5955,5852,6079,2378,2817,6038,8118,10698
